architecture,test_accuracy,test_macro_f1,Minor_precision,Minor_recall,Minor_f1,Minor_support,Moderate_precision,Moderate_recall,Moderate_f1,Moderate_support,Major_precision,Major_recall,Major_f1,Major_support,note
GCN,0.5998080614203455,0.4912959754832927,0.19327731092436976,0.34328358208955223,0.24731182795698925,67.0,0.8267716535433071,0.5857740585774058,0.6857142857142857,717.0,0.43855421686746987,0.7054263565891473,0.5408618127786032,258.0,
GIN,0.6094049904030711,0.4900758078047695,0.21782178217821782,0.3283582089552239,0.2619047619047619,67.0,0.7972027972027972,0.6359832635983264,0.7075252133436772,717.0,0.4254742547425474,0.6085271317829457,0.5007974481658692,258.0,
MPNN,,,,,,,,,,,,,,,"Excluded: ~2hr/epoch on available CPU hardware, not run to completion."
